no,hari_ke,positif_corona
1,1,2
2,2,0
3,3,0
4,4,0
5,5,0
6,6,2
7,7,2
8,8,13
9,9,8
10,10,7
11,11,0
12,12,35
13,13,27
14,14,21
15,15,17
16,16,38
17,17,55
18,18,82
19,19,60
20,20,81
21,21,64
22,22,65
23,23,107
24,24,104
25,25,103
26,26,153
27,27,109
28,28,130
29,29,129
30,30,114
31,31,149
32,32,113
33,33,196
34,34,106
35,35,181
36,36,218
37,37,247
38,38,218
39,39,337
40,40,219
41,41,330
42,42,399
43,43,316
44,44,282,
45,45,297
46,46,380
47,47,407
48,48,325
49,49,327
50,50,327
51,51,185
52,52,375
53,53,283
